,Date,Review_Score,Review_Text
278,"February 13, 2018",1,hver gang jeg pøver å logge meg inn med pin så får jeg beskjed om at en feil har oppstått og brukeren min har blitt fjernet og jeg må bruke bankid for å sette opp kontoen igjen.   hvorfor måtte dere stenge tilgang fra windows phone appen? den fungerte perfekt og hadde ingen av de problemene jeg har ...full review
279,"February 1, 2018",4,good support team
280,"January 31, 2018",4,hurra! nå ser det ut som alt fungerer på appen 👍 håper den holder seg slik også. etter oppdatering 31.01.18.
281,"January 19, 2018",1,does not work any more. even tried a fresh install on my samsung s4 android v5.0.1
282,"January 9, 2018",5,etter noen måneder med diverse oppdatering så virker det plutselig helt perfekt.
283,"January 13, 2018",1,this new app sucks the old one was better this one has bugs in the app and needs to be fixed
284,"January 17, 2018",2,"driftsproblemer, driftsproblemer, driftsproblemer......"
285,"December 4, 2017",5,"noen små problemer inn i mellom, men det gjør ikke noe. ellers god app i forhold til noen andre banker"
286,"November 4, 2017",1,"funker ikke når jeg skal oppdatere å legge inn pin kode, da kræsjer appen og lukker seg. har android 7.1.2. (lineageos). edit 09.10.17: ny versjon 3.0.11, fortsatt samme feil, helt ubrukelig... edit 03.11.17: ny versjon, fortsatt samme feilen med lineageos, appen lukker seg ved registrering av pin k...full review"
287,"November 17, 2017",5,veldig fin og stilren app som fungerer supert. anbefalt app og anbefalt bank
288,"December 1, 2017",3,"trenger valutakalkulator, og mulighet til å lagre faste kid-nummer for f.eks. kredittkortinnbetaling."
289,"November 16, 2017",4,"appen fungerer endelig som den skal, til og med bedre! kjempe bra!"
290,"December 11, 2017",5,it would've been really useful if i could change the language
291,"October 29, 2017",3,a shame we don't have english language.  are you guys thinking to add this option?
292,"October 19, 2017",4,"appen sluttet å fungere, når jeg prøver å logge meg inn så sier den siden finnes ikke"
293,"October 21, 2017",1,oruspu cocuklari
294,"October 18, 2017",5,has the essential functions.
295,"October 14, 2017",1,drittlei av at denne appen glemmer login-informasjon og jeg må frem med fødselsnummer og bankid stadig vekk. og det skjer alltid på ubeleilige tidspunkt.
296,"October 15, 2017",1,appen kræsjer når jeg prøver å registrere pin kode. bruker lineageos
297,"October 8, 2017",1,kå e dettaan jævla dritet kan ikke gjør noen ting for det kommer hele tiden feil feil feil håper den som kom med denne ideen dreper seg selv
298,"September 28, 2017",3,"dårlig oppdatering med fingerprint avleser, må bruke pin-kode. shame..."
299,"September 21, 2017",1,app crashes when using a finger print to unlock
300,"September 20, 2017",1,kort og godt sagt ubrukelig: må lage ny pin hver gang jeg skal logge inn
301,"September 13, 2017",1,ubrukelig. crash crash crash
302,"September 5, 2017",4,"appen har blitt bra, det er nå også fikset at man kommer rett på fingeravtrykk innloggingen, sånn at man sparer seg noen trykk."
303,"August 29, 2017",5,"flott nytt design med fine animasjoner og god flyt :)  liker den nye løsningen for innlogging godt, stabil og enkel"
304,"August 29, 2017",2,"hi, the app seemingly works well but it's very frustrating not to have it available in english, particularly when your website has an english option."
305,"August 28, 2017",3,"kom ikke inn, fikk feil pin, fant senere ut at det var banken som var utilgjengelig for øyeblikket da jeg prøvde å logge inn på pc.  hadde nok vært lurt å gitt samme feilmelding når man prøver å logge inn i appen istedenfor å gi melding om feil pinkode, selv ved bruk av fingeravtrykk.  prøvde å sett...full review"
306,"August 29, 2017",5,veldig bra med pin-kode👌
307,"August 22, 2017",5,efter dagens oppdatering får jeg ikke til og logge på. går direkte til feilmelding og appen blir slått av.
308,"July 14, 2017",5,flott app
309,"July 31, 2017",5,veldig bra
310,"June 30, 2017",3,tilbakeknappen gjør ikke det man tror den skal. ellers helt ok.
311,"May 4, 2017",1,spør om tilgang til lokasjon hver eneste gang jeg åpner den. har crashet to ganger for meg bare i dag. i tillegg er den treg og maser om at jeg skal kjøpe en masse tjenester jeg ikke trenger.
312,"April 25, 2017",4,innlogging med fingeravtrykk fungerer ikke lenger. ellers en grei app som gjør nytten.
313,"May 8, 2017",2,appen tryner ofte og sliter med å logge inn til tider
314,"February 2, 2017",1,app resets fingerprint login all the time and have to set it up again with the bankid.
315,"February 28, 2017",1,fungere ikke i det hele tatt. får en blank side etter man velger hvilken bank man skal benytte seg av.
316,"January 10, 2017",1,"was a good app, worked as needed. but now can not work which is obviously a big problem as has been 7 days now"
317,"January 10, 2017",5,"appen er helt super. gjør alt du trenger å gjøre, men nå ser den ut for ikke å få kontakt med serveren. de siste dagene når jeg skal logge på blir skjermen blank, med unntak av logoen (og ""headeren"").  edit: takk for svar! en oppdatering til webview for android var det som skulle til!"
318,"January 15, 2017",5,funket meget bra inn til for 7 dager siden. nå får jeg bare hvit skjerm. :(
319,"January 28, 2017",3,"appen logger seg helt ut når den ikke har vert aktiv. frustrerende å måtte skrive inn personnummer for å logge seg inn, og ikke minst bruke engangskode for å re-aktivere fingeravtrykkspålogging hver gang dette skjer."
320,"January 7, 2017",5,"funker helt perfekt, og har alt jeg trenger for å overføre penger til sparekonto og for å holde øye på saldo. bruker den ofte!"
